Execucao,TempoBFS,TempoDFS
1,0.003000,0.008000
2,0.003000,0.010000
3,0.003000,0.008000
4,0.003000,0.005000
5,0.002000,0.005000
6,0.001000,0.004000
7,0.001000,0.004000
8,0.002000,0.005000
9,0.002000,0.006000
10,0.001000,0.005000
11,0.002000,0.005000
12,0.002000,0.004000
13,0.002000,0.006000
14,0.002000,0.005000
15,0.002000,0.005000
16,0.002000,0.006000
17,0.001000,0.005000
18,0.002000,0.005000
19,0.001000,0.002000
20,0.001000,0.003000
21,0.001000,0.002000
22,0.006000,0.006000
23,0.001000,0.003000
24,0.002000,0.005000
25,0.002000,0.002000
26,0.002000,0.002000
27,0.001000,0.003000
28,0.001000,0.003000
29,0.002000,0.004000
30,0.001000,0.004000
31,0.002000,0.004000
32,0.002000,0.004000
33,0.001000,0.005000
34,0.001000,0.004000
35,0.002000,0.004000
36,0.002000,0.004000
37,0.002000,0.004000
38,0.002000,0.004000
39,0.002000,0.005000
40,0.001000,0.005000
41,0.001000,0.005000
42,0.002000,0.005000
43,0.002000,0.005000
44,0.001000,0.006000
45,0.001000,0.005000
46,0.002000,0.005000
47,0.001000,0.004000
48,0.002000,0.004000
49,0.002000,0.004000
50,0.001000,0.004000
