Execução,Tempo Busca em Largura,Tempo Busca em Profundidade,,,Busca Largura,Busca Profundidade
1,0.001000,0.014000,,MEDIA,0.005900,0.010540
2,0.001000,0.012000,,DESVIO PADRÃO,0.002816,0.002533
3,0.001000,0.012000,,,,
4,0.001000,0.009000,,TESTE-t,-8.662596,
5,0.001000,0.010000,,,,
6,0.001000,0.010000,,,,
7,0.001000,0.010000,,,,
8,0.001000,0.013000,,,,
9,0.001000,0.013000,,,,
10,0.001000,0.013000,,,,
11,0.001000,0.014000,,,,
12,0.000000,0.013000,,,,
13,0.001000,0.011000,,,,
14,0.001000,0.009000,,,,
15,0.001000,0.010000,,,,
16,0.001000,0.012000,,,,
17,0.001000,0.014000,,,,
18,0.002000,0.013000,,,,
19,0.001000,0.011000,,,,
20,0.001000,0.011000,,,,
21,0.000000,0.013000,,,,
22,0.001000,0.014000,,,,
23,0.001000,0.011000,,,,
24,0.001000,0.009000,,,,
25,0.000000,0.008000,,,,
26,0.001000,0.007000,,,,
27,0.001000,0.007000,,,,
28,0.001000,0.008000,,,,
29,0.001000,0.011000,,,,
30,0.001000,0.010000,,,,
31,0.001000,0.009000,,,,
32,0.001000,0.007000,,,,
33,0.001000,0.008000,,,,
34,0.001000,0.009000,,,,
35,0.001000,0.009000,,,,
36,0.001000,0.010000,,,,
37,0.000000,0.011000,,,,
38,0.001000,0.012000,,,,
39,0.001000,0.011000,,,,
40,0.001000,0.009000,,,,
41,0.000000,0.009000,,,,
42,0.001000,0.010000,,,,
43,0.001000,0.008000,,,,
44,0.001000,0.009000,,,,
45,0.001000,0.009000,,,,
46,0.001000,0.010000,,,,
47,0.001000,0.010000,,,,
48,0.001000,0.010000,,,,
49,0.001000,0.009000,,,,
50,0.001000,0.010000,,,,
